specimen_id,shape_type,Li,B,Mg,Cr,Mn,Co,Cu,Zn,Rb,Sr,Cd,Ba,La,Pb
85,H,5.821290802,125.1238512,41.38996471,-5579.742837,-0.703632359,-1.559995995,-11.75413154,-0.232399646,-0.152909644,11140.22868,-0.600014311,23.61677271,-0.048081803,1.999088245
87,C,3.754891772,73.78808101,56.14643731,2039.065423,0.85938617,-0.172799906,-0.936023613,6.333603946,-0.114414143,8998.588959,-0.003699657,31.56351304,0.017441436,0.01997251
90,M,1.590063258,102.2085878,60.99248732,-9460.332609,2.33001043,-0.546749683,-2.670474484,8.277722405,-0.109010721,8974.499647,-0.028008774,21.68688218,-0.012352226,1.589614684
94,H,1.839848132,12.50182377,77.69355687,-1284.807435,0.805317659,-0.086581209,0.147252556,11.06220237,0.017250211,9329.14415,0.114903329,27.54848934,0.010224264,0.988444972
96,C,3.721588016,67.13981438,68.5974446,-10519.52564,0.955429413,-0.055335499,2.44536419,15.31042471,-0.09075296,9712.386652,0.032551182,31.79949064,0.048351317,0.921512995
99,H,1.951784211,71.11732403,62.23153052,-8419.044064,0.96127765,-0.264915458,0.776720109,12.58755549,-0.065134433,9331.090639,-0.019386794,36.30225574,0.014650164,1.398095153
100,H,1.836222952,73.97925018,59.03230931,1771.773556,1.172006613,-0.025112312,-0.73077191,11.81285534,-0.139387599,8790.014789,-0.010657745,23.56056805,0.005912431,1.355052686
101,H,2.127397559,10.38870179,45.8515393,14.7148782,1.65942957,-2.031145401,10.84612566,25.14450664,-0.092157911,9831.48893,0.031799412,19.38757473,0.12379958,0.62650615
102,C,2.272228619,40.27677225,64.40009913,2028.561665,1.507057968,-0.036724021,-0.820628772,8.171135158,0.007176963,8757.573707,-0.053143439,25.10319666,-0.00376973,0.013517685
104,C,3.727436467,33.75881677,83.85611046,1229.895626,0.582673063,0.083267546,-0.09686292,7.128991464,0.047170529,9311.554904,-0.016619232,23.73906311,0.009426584,0.050245551
105,H,2.132146222,70.57290156,67.67928136,1728.84226,1.414474049,-0.178664761,-0.235610324,8.672148556,-0.048199086,9322.613488,-0.007688205,30.88614609,0.008058795,0.023794958
107,M,2.363930839,81.8179855,45.84725951,952.287453,2.226287455,-0.081620285,-1.615066031,6.436733361,-0.044034421,9426.112279,-0.03577092,27.46450608,0.005074095,0.004595133
108,M,2.50795907,72.86583434,77.19093967,1075.101076,0.526917106,-0.176779806,-0.442113505,6.298094136,-0.016316733,10601.64708,-0.017250467,28.60485763,-0.01590182,-0.002677482
109,C,3.324303353,90.67430658,69.61444688,1081.893279,1.506173938,-0.681834293,-1.79687936,9.019060311,-0.087978076,8679.502363,0.055023405,19.17749931,-0.000346723,0.014200322
