Spec_id,Stage,Mg24,Mg25,Ba,Li,Mn,Sr,Zn
87.1,A,65.86747054,39.86382197,38.39172127,1.059306211,0.924942631,7795.724897,8.421045629
87.2,J,53.1449149,29.0981923,33.13775564,9.510717215,0.644968294,8731.611808,4.556966992
87.3,T,55.05022281,31.36538056,28.82888291,1.633981643,0.940896274,9448.36452,6.58530074
90.1,A,56.82064624,11.38991102,13.87112091,0.972856486,0.792322536,8461.495635,7.49358277
90.2,J,59.23424259,27.80208454,20.5481908,2.376353591,1.332088128,8320.506105,9.151836039
90.3,T,63.64859621,23.06914454,24.65922115,1.458937746,3.25042527,9420.686325,8.493979833
94.1,A,63.97694383,33.98911147,27.47141994,2.295978856,1.331393268,10807.07675,14.2003232
94.2,J,58.70564925,35.79593019,28.28696712,2.170662416,0.858510942,8960.6759,11.74228758
94.3,T,94.18055414,70.91215759,28.51788044,7.534394538,0.918856851,9915.201396,13.89975171
96.1,A,63.0495792,37.04187426,25.23381981,0.877504714,0.711518251,9455.885225,14.81727796
96.2,J,62.76581183,41.26550783,32.50657225,8.516848184,0.886363359,9784.036929,12.65920398
96.3,T,77.05310959,52.53591476,34.92803101,1.634512671,1.150082011,9876.952209,17.39869755
99.1,A,62.04980298,36.41038657,45.37120042,1.971263248,0.872870412,9326.630103,12.2111655
99.2,J,51.76475202,23.07036093,22.42574865,1.841497635,0.444250755,9631.884034,10.09550817
99.3,T,72.750684,45.51987242,33.17517906,1.91669155,1.518706232,9272.416551,15.19565157
100.1,A,88.80202052,58.63579672,24.78651665,1.047345271,1.418492859,9225.123096,13.7824602
100.2,J,44.23391321,14.55996679,14.80485454,2.783341176,0.468976788,8357.168202,5.449508029
100.3,T,60.12162619,29.45017508,28.80402862,1.575227151,1.497956348,8888.593811,15.28412262
101.1,A,38.00548778,29.39951625,19.83634176,1.07779322,1.132848415,10480.24087,23.07913364
101.2,J,49.5722476,38.51847274,24.84122106,3.879244271,1.549924892,9648.609095,26.00545626
101.3,T,47.24876887,35.69973884,17.04011611,1.48956759,1.764757897,9878.902722,25.64530581
102.1,A,61.52042371,35.45681958,21.28620336,1.41748728,1.335131564,8798.570426,6.318169022
102.2,J,80.06655405,55.66600483,36.35907645,5.071206587,0.96293245,9087.291808,7.407090658
102.3,T,63.19731462,35.02938635,23.41431343,1.806999056,1.723976274,8740.375303,9.288746828
105.1,A,87.73485022,66.00169312,21.2957219,0.915547771,1.371432785,8932.773642,9.449255663
