Spec_id,Stage,Mg24,Mg25,Ba,Li,Mn,Sr,Zn
125.1,A,78.00514136,48.52872898,19.73471144,1.508781091,1.181883405,10548.01608,27.97398992
125.2,J,62.11019321,35.10684378,18.39495691,6.015726102,1.133043478,9365.516211,15.71768483
125.3,T,63.76696979,35.23272189,20.01183689,3.065594041,1.21602533,9665.948734,14.28831
126.1,A,52.05464707,42.46681411,17.63330548,1.268246915,0.53082163,10342.39275,9.507542983
126.2,J,81.30603194,70.46369435,15.4084323,15.01294732,0.634337611,9320.076477,7.903366833
126.3,T,69.81546129,57.96056601,18.50479603,2.490102367,1.049587824,10305.32722,8.579133839
127.1,A,107.5077892,92.84979555,17.81880145,2.153495474,1.187884672,10731.28723,10.6565218
127.2,J,58.82523828,49.77959254,15.69401359,3.616845375,1.168818167,10617.93588,8.795881694
127.3,T,55.61995261,44.88534558,15.61313053,2.429051559,5.910537112,9642.649369,9.715909958
129.1,A,54.34046707,45.37750377,15.05769877,1.511163863,1.411566127,9897.814998,13.38496839
129.2,J,87.80197992,77.53029538,17.02129082,12.94852452,1.480512734,9979.672346,11.45920172
129.3,T,69.71705693,58.84354106,15.89712558,3.109296731,1.614917858,10077.51985,14.16819669
133.1,A,58.66783534,48.1136575,32.64454197,1.293581147,1.476888771,11503.6957,9.915396251
133.2,T,61.71800652,51.24831244,22.91102684,1.915042928,1.306636033,11291.31862,8.760825159
138.1,A,60.57095087,49.76194513,21.22980098,1.033416875,1.010837156,11168.01888,26.03576895
138.2,J,85.29747826,76.7936204,25.85247627,9.201713333,1.080230414,10447.90053,21.17616587
138.3,T,59.54989084,50.63521147,22.3451651,1.94026994,1.725435099,10915.03089,23.46535729
145.1,A,113.5147722,104.487089,24.37973385,1.461940357,1.724183758,8928.421806,16.34349692
145.2,J,56.19959519,45.91129811,18.89471157,12.77397858,1.682957313,9441.289447,21.71438984
145.3,T,49.067332,38.56305441,25.50811881,2.040314587,2.106997487,10056.12556,19.47100208
166.1,A,133.7718914,129.5142074,17.83105267,0.344327806,2.319930466,8577.398492,26.67856471
166.2,J,116.3792385,108.9950106,36.42217794,6.860432747,1.324408078,9348.183536,21.2980338
166.3,T,60.36960613,48.85616795,20.47582898,0.806535351,3.034271725,7928.873781,23.7839339
167.1,A,30.56648875,20.74351926,82.79046144,1.557817547,2.313847404,8526.506611,27.55947431
167.2,J,44.00258179,33.67269786,23.99795127,12.07256396,1.668067476,10777.58232,24.06745944
167.3,T,38.81842157,28.91537374,35.18612031,4.024019136,2.004257875,9818.263215,19.63812606
